season,name,team,pos,games,minutes,points,rebounds,assists,steals,blocks,turnovers
2022-23,Jayson Tatum,BOS,SF,74,2732,2225,649,342,78,51,213
2022-23,Joel Embiid,PHI,C,66,2284,2183,670,274,66,112,226
2022-23,Luka Dončić,DAL,PG,66,2391,2138,569,529,90,33,236
2022-23,Shai Gilgeous-Alexander,OKC,PG,68,2416,2135,329,371,112,65,192
2022-23,Giannis Antetokounmpo,MIL,PF,63,2024,1959,742,359,52,51,246
2022-23,Anthony Edwards,MIN,SG,79,2842,1946,458,350,125,58,259
2022-23,Julius Randle,NYK,PF,77,2737,1936,767,316,49,21,216
2022-23,Donovan Mitchell,CLE,SG,68,2432,1922,289,301,99,27,180
2022-23,Trae Young,ATL,PG,73,2541,1914,217,741,80,9,300
2022-23,Zach LaVine,CHI,SG,77,2768,1913,345,327,69,18,194
2022-23,Damian Lillard,POR,PG,58,2107,1866,277,425,50,18,191
2022-23,De'Aaron Fox,SAC,PG,73,2435,1826,306,447,83,23,181
2022-23,DeMar DeRozan,CHI,SF,74,2682,1816,343,377,83,36,153
2022-23,Jaylen Brown,BOS,SF,67,2405,1784,459,232,75,26,197
2022-23,Pascal Siakam,TOR,PF,71,2652,1720,556,415,65,36,169
2022-23,Lauri Markkanen,UTA,PF,66,2273,1691,570,123,42,38,127
2022-23,Nikola Jokić,DEN,C,69,2323,1690,817,678,87,47,247
2022-23,Jalen Green,HOU,SG,76,2602,1683,284,281,59,18,200
2022-23,Jordan Poole,GSW,PG,82,2458,1675,225,369,63,21,252
2022-23,Mikal Bridges,PHO,SG,83,2963,1671,364,273,91,61,127
2022-23,Stephen Curry,GSW,PG,56,1941,1648,341,352,52,20,179
2022-23,Jalen Brunson,NYK,PG,68,2379,1633,241,421,61,15,142
2022-23,Kyrie Irving,BRK,SG,60,2241,1623,304,331,66,45,128
2022-23,Ja Morant,MEM,PG,61,1948,1596,357,493,66,16,206
2022-23,LeBron James,LAL,PF,55,1954,1590,457,375,50,32,178
2022-23,CJ McCollum,NOP,PG,75,2649,1568,328,429,70,38,183
2022-23,Bam Adebayo,MIA,C,75,2598,1529,688,240,88,61,187
2022-23,Dejounte Murray,ATL,SG,74,2693,1515,389,448,112,19,160
2022-23,Domantas Sabonis,SAC,C,79,2736,1510,973,573,65,39,230
2022-23,Klay Thompson,GSW,SF,69,2279,1509,286,163,49,29,123
2022-23,Kristaps Porziņģis,WAS,C,65,2120,1505,546,174,58,100,137
2022-23,Darius Garland,CLE,PG,69,2447,1490,185,538,85,9,199
2022-23,Franz Wagner,ORL,SF,80,2609,1485,329,283,77,17,167
2022-23,Devin Booker,PHO,SG,53,1835,1471,240,293,51,18,145
2022-23,Jimmy Butler,MIA,PF,64,2138,1466,375,340,117,21,101
2022-23,Anthony Davis,LAL,C,56,1904,1451,702,148,59,114,122
2022-23,Nikola Vučević,CHI,C,82,2746,1447,903,265,60,57,139
2022-23,Paolo Banchero,ORL,PF,72,2430,1437,497,269,60,39,200
2022-23,RJ Barrett,NYK,SG,73,2475,1431,368,201,31,15,164
2022-23,Keldon Johnson,SAS,SF,63,2063,1385,318,183,46,11,134
2022-23,Spencer Dinwiddie,DAL,SG,79,2725,1369,270,515,67,24,145
2022-23,Kevin Durant,BRK,PF,47,1672,1366,313,235,34,67,156
2022-23,Kyle Kuzma,WAS,PF,64,2239,1357,463,239,36,29,190
2022-23,Tyler Herro,MIA,SG,67,2337,1347,360,280,51,16,158
2022-23,Buddy Hield,IND,SF,80,2482,1344,400,225,92,26,139
2022-23,Fred VanVleet,TOR,PG,69,2535,1335,280,495,123,38,140
2022-23,Paul George,LAC,SF,56,1939,1332,342,288,83,20,176
2022-23,Terry Rozier,CHO,SG,63,2221,1329,259,319,74,16,134
2022-23,Anfernee Simons,POR,SG,62,2171,1306,161,253,42,14,128
2022-23,Bennedict Mathurin,IND,SG,78,2222,1302,318,116,48,13,152
2022-23,Jamal Murray,DEN,PG,65,2133,1298,257,400,66,16,145
2022-23,Jerami Grant,POR,PF,63,2246,1290,283,150,51,53,116
2022-23,Jrue Holiday,MIL,PG,67,2183,1290,341,495,79,25,197
2022-23,Evan Mobley,CLE,PF,79,2715,1277,711,224,60,119,146
2022-23,Bojan Bogdanović,DET,PF,59,1893,1273,223,152,34,8,135
2022-23,Jordan Clarkson,UTA,SG,61,1988,1271,246,270,33,13,186
2022-23,D'Angelo Russell,MIN,PG,71,2304,1263,215,437,70,29,186
2022-23,Josh Giddey,OKC,PF,76,2367,1260,599,469,57,31,211
2022-23,Desmond Bane,MEM,SG,58,1841,1247,291,254,56,22,126
2022-23,Kawhi Leonard,LAC,SF,52,1748,1239,338,204,72,28,88
2022-23,Brook Lopez,MIL,C,78,2373,1239,520,99,37,193,107
2022-23,Harrison Barnes,SAC,PF,82,2662,1230,366,128,57,10,86
2022-23,Tyrese Maxey,PHI,SG,60,2016,1218,176,212,49,8,80
2022-23,James Harden,PHI,PG,58,2135,1216,354,618,71,31,195
2022-23,Immanuel Quickley,NYK,SG,81,2344,1209,337,279,80,14,100
2022-23,Jaden Ivey,DET,SG,74,2304,1204,288,387,61,17,237
2022-23,Deandre Ayton,PHO,C,67,2035,1203,667,115,37,53,120
2022-23,Scottie Barnes,TOR,SF,77,2678,1179,512,371,83,61,154
2022-23,Jaren Jackson Jr.,MEM,C,63,1787,1173,426,60,65,189,107
2022-23,Bradley Beal,WAS,SG,50,1673,1160,196,271,45,33,145
2022-23,Tyrese Haliburton,IND,PG,56,1883,1160,205,585,91,25,141
2022-23,Russell Westbrook,LAL,PG,73,2126,1159,423,551,76,33,255
2022-23,Trey Murphy III,NOP,SF,79,2448,1148,281,112,89,43,61
2022-23,Gary Trent Jr.,TOR,SG,66,2118,1148,173,106,104,14,55
2022-23,P.J. Washington,CHO,PF,73,2380,1144,358,175,66,79,110
2022-23,Kevin Huerter,SAC,SG,75,2203,1140,251,221,80,24,97
2022-23,Kevin Porter Jr.,HOU,PG,59,2024,1130,314,338,82,17,188
2022-23,OG Anunoby,TOR,SF,67,2386,1124,332,131,128,50,132
2022-23,Jonas Valančiūnas,NOP,C,79,1968,1115,804,140,20,52,159
2022-23,Christian Wood,DAL,C,67,1738,1114,491,121,30,72,121
2022-23,Myles Turner,IND,C,62,1825,1113,466,89,36,140,103
2022-23,Brandon Ingram,NOP,SF,45,1538,1112,246,262,32,19,148
2022-23,Aaron Gordon,DEN,PF,68,2055,1109,446,203,54,51,98
2022-23,Alperen Şengün,HOU,C,75,2171,1109,678,291,70,70,193
2022-23,Tobias Harris,PHI,SF,74,2436,1085,424,186,68,40,89
2022-23,Michael Porter Jr.,DEN,SF,62,1798,1080,341,65,37,29,68
2022-23,Saddiq Bey,DET,SF,77,2129,1062,362,118,70,13,71
2022-23,Jalen Williams,OKC,SG,75,2276,1056,337,248,103,35,123
2022-23,Dillon Brooks,MEM,SF,73,2214,1047,244,189,65,16,104
2022-23,Malik Monk,SAC,SG,77,1719,1041,203,298,49,20,146
2022-23,KJ Martin,HOU,SF,82,2292,1039,452,123,41,30,91
2022-23,De'Andre Hunter,ATL,SF,67,2126,1029,284,94,35,17,82
2022-23,Malik Beasley,UTA,SG,81,2093,1025,283,124,65,9,90
2022-23,Tim Hardaway Jr.,DAL,SF,71,2152,1019,251,129,49,12,60
2022-23,Norman Powell,LAC,SG,60,1567,1019,175,109,50,18,101
2022-23,Derrick White,BOS,SG,82,2319,1017,293,321,54,76,95
2022-23,Luguentz Dort,OKC,SF,74,2272,1013,344,154,75,23,92
2022-23,Jabari Smith Jr.,HOU,PF,79,2451,1010,569,101,43,74,104
2022-23,Malcolm Brogdon,BOS,PG,67,1744,1000,280,248,45,18,98
2022-23,Bobby Portis,MIL,PF,70,1818,987,672,105,29,16,81
2022-23,Keegan Murray,SAC,SF,80,2382,976,371,98,61,42,60
2022-23,Kelly Oubre Jr.,CHO,SF,48,1548,972,249,54,68,18,64
2022-23,Jarrett Allen,CLE,C,68,2220,969,666,113,54,84,93
2022-23,Nic Claxton,BRK,C,76,2271,961,702,144,65,189,96
2022-23,Jaden McDaniels,MIN,SF,79,2416,953,307,148,74,76,112
2022-23,Rudy Gobert,MIN,C,70,2148,939,814,87,56,95,122
2022-23,John Collins,ATL,PF,71,2130,931,462,85,42,73,79
2022-23,Bruce Brown,DEN,SF,80,2280,923,328,268,87,51,123
2022-23,Max Strus,MIA,SF,80,2272,923,258,171,42,12,70
2022-23,Caris LeVert,CLE,SG,74,2237,897,282,287,72,24,116
2022-23,Jakob Poeltl,SAS,C,72,1906,897,653,197,66,86,125
2022-23,Tre Jones,SAS,PG,68,1984,875,245,448,89,9,110
2022-23,Wendell Carter Jr.,ORL,C,57,1690,868,497,132,30,33,106
2022-23,Mason Plumlee,CHO,C,79,2054,857,700,245,46,47,117
2022-23,Eric Gordon,HOU,SG,69,1965,856,134,183,43,25,104
2022-23,Kelly Olynyk,UTA,C,68,1942,847,420,252,60,37,168
2022-23,LaMelo Ball,CHO,PG,36,1268,838,231,304,46,11,129
2022-23,Markelle Fultz,ORL,PG,60,1778,837,234,341,87,26,139
2022-23,Austin Reaves,LAL,SG,64,1843,833,193,215,33,19,99
2022-23,Patrick Williams,CHI,PF,82,2323,833,327,100,72,70,101
2022-23,Dennis Schröder,LAL,PG,66,1986,830,165,298,50,10,112
2022-23,Tyus Jones,MEM,PG,80,1940,823,200,417,83,6,74
2022-23,Kentavious Caldwell-Pope,DEN,SG,76,2381,822,208,183,112,35,86
2022-23,Corey Kispert,WAS,SF,74,2093,820,207,87,32,9,55
2022-23,Chris Paul,PHO,PG,59,1889,819,251,524,91,22,114
2022-23,Ivica Zubac,LAC,C,76,2170,818,756,77,29,98,117
2022-23,Quentin Grimes,NYK,SG,71,2121,799,229,150,47,26,69
2022-23,Mike Conley,UTA,PG,67,2029,798,182,450,73,14,103
2022-23,Onyeka Okongwu,ATL,C,80,1849,791,576,81,56,107,81
2022-23,Shaedon Sharpe,POR,SG,80,1779,789,236,94,38,24,83
2022-23,Killian Hayes,DET,PG,76,2154,786,221,470,104,28,173
2022-23,Cole Anthony,ORL,PG,60,1552,781,288,235,37,31,91
2022-23,Naz Reid,MIN,C,68,1251,781,333,77,42,53,92
2022-23,De'Anthony Melton,PHI,SG,77,2150,780,312,197,126,41,102
2022-23,Clint Capela,ATL,C,65,1730,779,717,58,45,79,54
2022-23,Tari Eason,HOU,PF,82,1767,760,496,88,96,47,101
2022-23,Bogdan Bogdanović,ATL,SG,54,1508,756,165,150,43,18,65
